id,name,definition
DOID:14502,cholesterol ester storage disease,A lysosomal acid lipase deficiency characterized by onset in childhood or later of progressive accumulation of cholesteryl esters and triglycerides primarily in the liver and spleen.
DOID:1931,hypothalamic disease,A brain disease located_in the hypothalamus.
DOID:2361,macrocytic anemia,An anemia that is characterized by the production of abnormally large red blood cells and mean corpuscular volume (MCV) (more than 100 fL).
DOID:3098,small cell sarcoma,A sarcoma characterized by the presence of small round or elongated malignant cells with a small amount of cytoplasm.
DOID:312,tenosynovitis of foot and ankle,A tenosynovitis that is located in the foot and ankle.
DOID:3356,localized osteosarcoma,An osteosarcoma that is confined to a specific site without evidence of spread to other anatomic sites.
DOID:3357,extraosseous osteosarcoma,An osteosarcoma arising from the soft tissue.
DOID:3376,bone osteosarcoma,"An osteosarcoma that is an usually aggressive malignant bone-forming mesenchymal neoplasm arising from the bone. It may arise de novo or from a pre-existing lesion of the bone. Pain and a palpable mass are the most frequent clinical sign and symptom. It may spread to other anatomic sites, particularly the lungs."
DOID:3613,Canavan disease,"A leukodystrophy characterized by onset in early infancy, atonia of neck muscles, hypotonia, hyperextension of legs and flexion of arms, blindness, severe mental defect, megalocephaly, and death by 18 months on the average that has_material_basis_in homozygous or compound heterozygous mutation in ASPA gene encoding aspartoacylase on chromosome 17p13."
DOID:4183,pseudopseudohypoparathyroidism,A pseudohypoparathyroidism characterized by a lack of resistance to parathyroid hormone or other hormones along with the constellation of clinical features referred to as Albright hereditary osteodystrophy and that has_material_basis_in a mutation resulting in loss of function of the Gs-alpha isoform of the GNAS gene on the paternal allele. This results in expression of the Gs-alpha protein only from the maternal allele.
DOID:4184,pseudohypoparathyroidism,"A metal metabolism disorder that is characterized by end-organ resistance to parathyroid hormone and/or a constellation of symptoms collectively termed Albright’s hereditary osteodystrophy, which include shortening and widening of long bones located_in the hand or located_in the foot along with short stature, obesity, and rounded face."
DOID:4194,glucose metabolism disease,A carbohydrate metabolic disorder that is characterized by blood glucose levels which cannot be maintained within the normal range.
DOID:4873,anterior horn cell disease,"A motor neuron disease that is characterized by lower motor neuron signs of wasting, weakness, and loss of reflexes and that is located in the anterior horn of the spinal cord that contains the motor neurons responsible for body muscles."
DOID:5199,ureteral obstruction,An urinary tract obstruction that is characterized by a blockage in one or both of the tubes (ureters) that carry urine from the kidneys to the bladder.
DOID:583,hemolytic anemia,A normocytic anemia that is characterized by the rate of descruction of red blood cells exceeding the rate than they can be made.
DOID:5914,diffuse sclerosing papillary thyroid carcinoma,"A papillary thyroid carcinoma that is characterized by diffuse infiltration of the thyroid gland by malignant follicular cells, squamous metaplasia, stromal fibrosis, and lymphocytic infiltration."
DOID:7086,multicentric papillary thyroid carcinoma,A papillary thyroid carcinoma arising in the thyroid gland from multiple foci.
DOID:7088,columnar cell papillary thyroid carcinoma,A papillary thyroid carcinoma that is characterized by the presence of pseudostratified malignant follicular cells.
DOID:7089,tall cell papillary thyroid carcinoma,"A papillary thyroid carcinoma that is characterized by the presence of tall malignant follicular cells, arranged in papillary and trabecular patterns."
DOID:720,normocytic anemia,An anemia that is characterized by circulating red blood cells that are the same size and have a normal red color and a mean corpuscular volume (MCV) between 80 and 100 fL.
DOID:7297,childhood extraosseous osteosarcoma,An extraosseous osteosarcoma that arises from the soft tissue and occurs during childhood.
DOID:9432,renal glycosuria,A renal tubular transport disease characterized by decreased renal tubular resorption of glucose from the urine in the absence of hyperglycemia and other signs of tubular dysfunction.
DOID:970,tenosynovitis,An arthropathy that is characterized as an inflammation of the lining of the sheath that surrounds a tendon.
